Datetime, Search terms, Website, Result number, Total results requested, ID number, Title, Date Submitted, Abstract, Downloaded?, FileNamePath, all_authors, all_locations, first_author, firstauthor_location, lastauthor, last_author_location, citations
072020-205900,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,126,200000,2007.09892v1,Deep Reflectance Volumes: Relightable Reconstructions from Multi-View Photometric Images,7/20/20,"We present a deep learning approach to reconstruct scene appearance from
unstructured images captured under collocated point lighting. At the heart of
Deep Reflectance Volumes is a novel volumetric scene representation consisting
of opacity, surface normal and reflectance voxel grids. We present a novel
physically-based differentiable volume ray marching framework to render these
scene volumes under arbitrary viewpoint and lighting. This allows us to
optimize the scene volumes to minimize the error between their rendered images
and the captured images. Our method is able to reconstruct real scenes with
challenging non-Lambertian reflectance and complex geometry with occlusions and
shadowing. Moreover, it accurately generalizes to novel viewpoints and
lighting, including non-collocated lighting, rendering photorealistic images
that are significantly better than state-of-the-art mesh-based methods. We also
show that our learned reflectance volumes are editable, allowing for modifying
the materials of the captured scenes.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2007.09892v1.pdf,Sai Bi; Zexiang Xu; Kalyan Sunkavalli; Miloš Hašan; Yannick Hold-Geoffroy; David Kriegman; Ravi Ramamoorthi,,Sai Bi,,Ravi Ramamoorthi,,
072020-203936,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,5,200000,2007.02165v1,CardioLearn: A Cloud Deep Learning Service for Cardiac Disease Detection from Electrocardiogram,7/4/20,"Electrocardiogram (ECG) is one of the most convenient and non-invasive tools
for monitoring peoples' heart condition, which can use for diagnosing a wide
range of heart diseases, including Cardiac Arrhythmia, Acute Coronary Syndrome,
et al. However, traditional ECG disease detection models show substantial rates
of misdiagnosis due to the limitations of the abilities of extracted features.
Recent deep learning methods have shown significant advantages, but they do not
provide publicly available services for those who have no training data or
computational resources.
  In this paper, we demonstrate our work on building, training, and serving
such out-of-the-box cloud deep learning service for cardiac disease detection
from ECG named CardioLearn. The analytic ability of any other ECG recording
devices can be enhanced by connecting to the Internet and invoke our open API.
As a practical example, we also design a portable smart hardware device along
with an interactive mobile program, which can collect ECG and detect potential
cardiac diseases anytime and anywhere.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2007.02165v1.pdf,Shenda Hong; Zhaoji Fu; Rongbo Zhou; Jie Yu; Yongkui Li; Kai Wang; Guanlin Cheng,,Shenda Hong,,Guanlin Cheng,,
072020-205538,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,66,200000,2007.00603v1,Exploiting the Logits: Joint Sign Language Recognition and Spell-Correction,7/1/20,"Machine learning techniques have excelled in the automatic semantic analysis
of images, reaching human-level performances on challenging benchmarks. Yet,
the semantic analysis of videos remains challenging due to the significantly
higher dimensionality of the input data, respectively, the significantly higher
need for annotated training examples. By studying the automatic recognition of
German sign language videos, we demonstrate that on the relatively scarce
training data of 2.800 videos, modern deep learning architectures for video
analysis (such as ResNeXt) along with transfer learning on large gesture
recognition tasks, can achieve about 75% character accuracy. Considering that
this leaves us with a probability of under 25% that a 5 letter word is spelled
correctly, spell-correction systems are crucial for producing readable outputs.
The contribution of this paper is to propose a convolutional neural network for
spell-correction that expects the softmax outputs of the character recognition
network (instead of a misspelled word) as an input. We demonstrate that purely
learning on softmax inputs in combination with scarce training data yields
overfitting as the network learns the inputs by heart. In contrast, training
the network on several variants of the logits of the classification output i.e.
scaling by a constant factor, adding of random noise, mixing of softmax and
hardmax inputs or purely training on hardmax inputs, leads to better
generalization while benefitting from the significant information hidden in
these outputs (that have 98% top-5 accuracy), yielding a readable text despite
the comparably low character accuracy.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2007.00603v1.pdf,Christina Runkel; Stefan Dorenkamp; Hartmut Bauermeister; Michael Moeller,,Christina Runkel,,Michael Moeller,,
072020-205855,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,125,200000,2006.16546v1,Hand-drawn Symbol Recognition of Surgical Flowsheet Graphs with Deep Image Segmentation,6/30/20,"Perioperative data are essential to investigating the causes of adverse
surgical outcomes. In some low to middle income countries, these data are
computationally inaccessible due to a lack of digitization of surgical
flowsheets. In this paper, we present a deep image segmentation approach using
a U-Net architecture that can detect hand-drawn symbols on a flowsheet graph.
The segmentation mask outputs are post-processed with techniques unique to each
symbol to convert into numeric values. The U-Net method can detect, at the
appropriate time intervals, the symbols for heart rate and blood pressure with
over 99 percent accuracy. Over 95 percent of the predictions fall within an
absolute error of five when compared to the actual value. The deep learning
model outperformed template matching even with a small size of annotated images
available for the training set.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.16546v1.pdf,William Adorno III; Angela Yi; Marcel Durieux; Donald Brown,,William Adorno III,,Donald Brown,,
072020-204016,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,15,200000,2006.15710v1,Motion Pyramid Networks for Accurate and Efficient Cardiac Motion Estimation,6/28/20,"Cardiac motion estimation plays a key role in MRI cardiac feature tracking
and function assessment such as myocardium strain. In this paper, we propose
Motion Pyramid Networks, a novel deep learning-based approach for accurate and
efficient cardiac motion estimation. We predict and fuse a pyramid of motion
fields from multiple scales of feature representations to generate a more
refined motion field. We then use a novel cyclic teacher-student training
strategy to make the inference end-to-end and further improve the tracking
performance. Our teacher model provides more accurate motion estimation as
supervision through progressive motion compensations. Our student model learns
from the teacher model to estimate motion in a single step while maintaining
accuracy. The teacher-student knowledge distillation is performed in a cyclic
way for a further performance boost. Our proposed method outperforms a strong
baseline model on two public available clinical datasets significantly,
evaluated by a variety of metrics and the inference time. New evaluation
metrics are also proposed to represent errors in a clinically meaningful
manner.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.15710v1.pdf,Hanchao Yu; Xiao Chen; Humphrey Shi; Terrence Chen; Thomas S. Huang; Shanhui Sun,,Hanchao Yu,,Shanhui Sun,,
072020-205139,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,138,200000,2006.15573v2,MvMM-RegNet: A new image registration framework based on multivariate mixture model and neural network estimation,6/28/20,"Current deep-learning-based registration algorithms often exploit
intensity-based similarity measures as the loss function, where dense
correspondence between a pair of moving and fixed images is optimized through
backpropagation during training. However, intensity-based metrics can be
misleading when the assumption of intensity class correspondence is violated,
especially in cross-modality or contrast-enhanced images. Moreover, existing
learning-based registration methods are predominantly applicable to pairwise
registration and are rarely extended to groupwise registration or simultaneous
registration with multiple images. In this paper, we propose a new image
registration framework based on multivariate mixture model (MvMM) and neural
network estimation. A generative model consolidating both appearance and
anatomical information is established to derive a novel loss function capable
of implementing groupwise registration. We highlight the versatility of the
proposed framework for various applications on multimodal cardiac images,
including single-atlas-based segmentation (SAS) via pairwise registration and
multi-atlas segmentation (MAS) unified by groupwise registration. We evaluated
performance on two publicly available datasets, i.e. MM-WHS-2017 and
MS-CMRSeg-2019. The results show that the proposed framework achieved an
average Dice score of $0.871\pm 0.025$ for whole-heart segmentation on MR
images and $0.783\pm 0.082$ for myocardium segmentation on LGE MR images.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.15573v2.pdf,Xinzhe Luo; Xiahai Zhuang,,Xinzhe Luo,,Xiahai Zhuang,,
072020-204308,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,52,200000,2006.13811v2,Interpretable Deep Models for Cardiac Resynchronisation Therapy Response Prediction,6/24/20,"Advances in deep learning (DL) have resulted in impressive accuracy in some
medical image classification tasks, but often deep models lack
interpretability. The ability of these models to explain their decisions is
important for fostering clinical trust and facilitating clinical translation.
Furthermore, for many problems in medicine there is a wealth of existing
clinical knowledge to draw upon, which may be useful in generating
explanations, but it is not obvious how this knowledge can be encoded into DL
models - most models are learnt either from scratch or using transfer learning
from a different domain. In this paper we address both of these issues. We
propose a novel DL framework for image-based classification based on a
variational autoencoder (VAE). The framework allows prediction of the output of
interest from the latent space of the autoencoder, as well as visualisation (in
the image domain) of the effects of crossing the decision boundary, thus
enhancing the interpretability of the classifier. Our key contribution is that
the VAE disentangles the latent space based on `explanations' drawn from
existing clinical knowledge. The framework can predict outputs as well as
explanations for these outputs, and also raises the possibility of discovering
new biomarkers that are separate (or disentangled) from the existing knowledge.
We demonstrate our framework on the problem of predicting response of patients
with cardiomyopathy to cardiac resynchronization therapy (CRT) from cine
cardiac magnetic resonance images. The sensitivity and specificity of the
proposed model on the task of CRT response prediction are 88.43% and 84.39%
respectively, and we showcase the potential of our model in enhancing
understanding of the factors contributing to CRT response.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.13811v2.pdf,Esther Puyol-Antón; Chen Chen; James R. Clough; Bram Ruijsink; Baldeep S. Sidhu; Justin Gould; Bradley Porter; Mark Elliott; Vishal Mehta; Daniel Rueckert; Christopher A. Rinaldi; Andrew P. King,,Esther Puyol-Antón,,Andrew P. King,,
072020-203944,"""machine learning"" OR ""deep learning"" AND cardiac",Arxiv,6,200000,2006.12700v1,Cine Cardiac MRI Motion Artifact Reduction Using a Recurrent Neural Network,6/23/20,"Cine cardiac magnetic resonance imaging (MRI) is widely used for diagnosis of
cardiac diseases thanks to its ability to present cardiovascular features in
excellent contrast. As compared to computed tomography (CT), MRI, however,
requires a long scan time, which inevitably induces motion artifacts and causes
patients' discomfort. Thus, there has been a strong clinical motivation to
develop techniques to reduce both the scan time and motion artifacts. Given its
successful applications in other medical imaging tasks such as MRI
super-resolution and CT metal artifact reduction, deep learning is a promising
approach for cardiac MRI motion artifact reduction. In this paper, we propose a
recurrent neural network to simultaneously extract both spatial and temporal
features from under-sampled, motion-blurred cine cardiac images for improved
image quality. The experimental results demonstrate substantially improved
image quality on two clinical test datasets. Also, our method enables
data-driven frame interpolation at an enhanced temporal resolution. Compared
with existing methods, our deep learning approach gives a superior performance
in terms of structural similarity (SSIM) and peak signal-to-noise ratio (PSNR).",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.12700v1.pdf,Qing Lyu; Hongming Shan; Yibin Xie; Debiao Li; Ge Wang,,Qing Lyu,,Ge Wang,,
072020-210029,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,144,200000,2006.08696v2,Unsupervised Domain Adaptation for Semantic Segmentation of NIR Images through Generative Latent Search,6/15/20,"Segmentation of the pixels corresponding to human skin is an essential first
step in multiple applications ranging from surveillance to heart-rate
estimation from remote-photoplethysmography. However, the existing literature
considers the problem only in the visible-range of the EM-spectrum which limits
their utility in low or no light settings where the criticality of the
application is higher. To alleviate this problem, we consider the problem of
skin segmentation from the Near-infrared images. However, Deep learning based
state-of-the-art segmentation techniques demands large amounts of labelled data
that is unavailable for the current problem. Therefore we cast the skin
segmentation problem as that of target-independent Unsupervised Domain
Adaptation (UDA) where we use the data from the Red-channel of the
visible-range to develop skin segmentation algorithm on NIR images. We propose
a method for target-independent segmentation where the 'nearest-clone' of a
target image in the source domain is searched and used as a proxy in the
segmentation network trained only on the source domain. We prove the existence
of 'nearest-clone' and propose a method to find it through an optimization
algorithm over the latent space of a Deep generative model based on variational
inference. We demonstrate the efficacy of the proposed method for NIR skin
segmentation over the state-of-the-art UDA segmentation methods on the two
newly created skin segmentation datasets in NIR domain despite not having
access to the target NIR data. Additionally, we report state-of-the-art results
for adaption from Synthia to Cityscapes which is a popular setting in
Unsupervised Domain Adaptation for semantic segmentation. The code and datasets
are available at https://github.com/ambekarsameer96/GLSS.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.08696v2.pdf,Prashant Pandey; Aayush Kumar Tyagi; Sameer Ambekar; Prathosh AP,,Prashant Pandey,,Prathosh AP,,
072020-205708,"""machine learning"" OR ""deep learning"" AND heart",Arxiv,84,200000,2006.06805v1,Automated Identification of Thoracic Pathology from Chest Radiographs with Enhanced Training Pipeline,6/11/20,"Chest x-rays are the most common radiology studies for diagnosing lung and
heart disease. Hence, a system for automated pre-reporting of pathologic
findings on chest x-rays would greatly enhance radiologists' productivity. To
this end, we investigate a deep-learning framework with novel training schemes
for classification of different thoracic pathology labels from chest x-rays. We
use the currently largest publicly available annotated dataset ChestX-ray14 of
112,120 chest radiographs of 30,805 patients. Each image was annotated with
either a 'NoFinding' class, or one or more of 14 thoracic pathology labels.
Subjects can have multiple pathologies, resulting in a multi-class, multi-label
problem. We encoded labels as binary vectors using k-hot encoding. We study the
ResNet34 architecture, pre-trained on ImageNet, where two key modifications
were incorporated into the training framework: (1) Stochastic gradient descent
with momentum and with restarts using cosine annealing, (2) Variable image
sizes for fine-tuning to prevent overfitting. Additionally, we use a heuristic
algorithm to select a good learning rate. Learning with restarts was used to
avoid local minima. Area Under receiver operating characteristics Curve (AUC)
was used to quantitatively evaluate diagnostic quality. Our results are
comparable to, or outperform the best results of current state-of-the-art
methods with AUCs as follows: Atelectasis:0.81, Cardiomegaly:0.91,
Consolidation:0.81, Edema:0.92, Effusion:0.89, Emphysema: 0.92, Fibrosis:0.81,
Hernia:0.84, Infiltration:0.73, Mass:0.85, Nodule:0.76, Pleural
Thickening:0.81, Pneumonia:0.77, Pneumothorax:0.89 and NoFinding:0.79. Our
results suggest that, in addition to using sophisticated network architectures,
a good learning rate, scheduler and a robust optimizer can boost performance.",Downloaded successfully,/Volumes/Seagate_8TB/rxiv_072020/arxiv.org/2006.06805v1.pdf,Adora M. DSouza; Anas Z. Abidin; Axel Wismüller,,Adora M. DSouza,,Axel Wismüller,,
